Time (Mars Years), Time (Ls), Tsurf 500 mb 30km, Tsurf 500 mb 50km, Tsurf 500 mb 100km
          [Years],     [deg],               [K],               [K],                [K]
        0.7951        275.96        241.892        245.858        303.335
        0.7966        276.50        241.934        245.836        303.273
        0.7981        277.04        241.927        245.782        303.175
        0.7996        277.58        241.848        245.673        303.065
        0.8011        278.12        241.745        245.596        302.952
        0.8026        278.65        241.703        245.486        302.812
        0.8041        279.19        241.636        245.441        302.692
        0.8056        279.73        241.608        245.453        302.676
        0.8071        280.27        241.648        245.416        302.683
        0.8086        280.81        241.495        245.255        302.636
        0.8101        281.35        241.347        245.072        302.550
        0.8115        281.89        241.175        245.002        302.509
        0.8130        282.42        241.027        245.012        302.431
        0.8145        282.96        240.886        245.013        302.405
        0.8160        283.50        240.855        244.763        302.363
        0.8175        284.04        240.852        244.574        302.276
        0.8190        284.58        240.600        244.502        302.154
        0.8205        285.12        240.513        244.389        302.025
        0.8220        285.65        240.488        244.238        301.969
        0.8235        286.19        240.443        244.162        301.891
        0.8250        286.73        240.381        244.070        301.726
        0.8265        287.27        240.354        244.022        301.588
        0.8280        287.81        240.291        244.042        301.393
        0.8295        288.35        240.319        243.967        301.359
        0.8310        288.89        240.293        243.886        301.275
        0.8325        289.42        240.307        243.859        301.129
        0.8340        289.96        240.309        243.752        301.010
        0.8355        290.50        240.262        243.674        300.880
        0.8370        291.04        240.198        243.722        300.765
        0.8385        291.58        240.007        243.607        300.746
        0.8400        292.12        239.818        243.336        300.625
        0.8415        292.65        239.716        243.252        300.527
        0.8430        293.19        239.728        243.249        300.415
        0.8445        293.73        239.829        243.274        300.382
        0.8459        294.27        239.851        243.281        300.340
        0.8474        294.81        239.825        243.240        300.270
        0.8489        295.35        239.723        243.255        300.249
        0.8504        295.88        239.720        243.260        300.167
        0.8519        296.42        239.700        243.075        300.023
        0.8534        296.96        239.632        242.821        299.962
        0.8549        297.50        239.532        242.793        299.837
        0.8564        298.04        239.342        242.712        299.598
        0.8579        298.58        239.330        242.698        299.364
        0.8594        299.12        239.395        242.500        299.141
        0.8609        299.65        239.323        242.337        299.073
        0.8624        300.19        239.356        242.185        298.991
        0.8639        300.73        239.235        242.111        298.833
        0.8654        301.27        239.025        242.106        298.760
        0.8669        301.81        239.040        242.109        298.570
        0.8684        302.35        239.019        242.048        298.314
        0.8699        302.88        238.996        241.948        298.164
        0.8714        303.42        238.842        241.912        297.960
        0.8729        303.96        238.714        241.942        297.749
        0.8744        304.50        238.604        241.731        297.615
        0.8759        305.04        238.630        241.521        297.538
        0.8774        305.58        238.623        241.500        297.400
        0.8789        306.12        238.482        241.515        297.329
        0.8803        306.65        238.311        241.549        297.110
        0.8818        307.19        238.393        241.505        296.871
        0.8833        307.73        238.417        241.418        296.737
        0.8848        308.27        238.284        241.407        296.611
        0.8863        308.81        238.147        241.332        296.426
